drug_name,drug_type,dosage_form,active_ingredient,indication,description,restriction,precautions,source
Aluminium hydroxide + Magnesium hydroxide,,"chewable tab, tab, susp, susp (hosp)",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antacids and other drugs for dyspepsia | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Simeticone,,"chewable tab, susp",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antacids and other drugs for dyspepsia | ชื่อพ้อง: Simethicone | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Aluminium hydroxide + Magnesium hydroxide + Simeticone 25-50 mg,,"chewable tab, tab",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antacids and other drugs for dyspepsia | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Compound Cardamom Mixture เฉพาะสูตรที่ไม่มี sodium bicarbonate,,"mixt, mixt (hosp)",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antacids and other drugs for dyspepsia | ชื่อพ้อง: Mist Carminative | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Aluminium hydroxide,,"chewable tab, tab, susp, susp (hosp)",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antacids and other drugs for dyspepsia | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Dicycloverine hydrochloride,,tab,,,หมวดยา: Gastro-intestinal system | หมวดยา: Antispasmodics and other drugs altering gut motility | ชื่อพ้อง: Dicyclomine hydrochloride | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Domperidone,,"tab (as base/maleate), susp (as base/maleate)",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antispasmodics and other drugs altering gut motility | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Hyoscine butylbromide,,"tab, syr, sterile sol",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antispasmodics and other drugs altering gut motility | ชื่อพ้อง: Hyoscine-n-butylbromide | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Metoclopramide,,"tab, syr, sterile sol",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antispasmodics and other drugs altering gut motility | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Mebeverine hydrochloride,,tab,,,หมวดยา: Gastro-intestinal system | หมวดยา: Antispasmodics and other drugs altering gut motility | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Omeprazole,,EC cap (as base),,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Ranitidine hydrochloride,,film coated tab,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Omeprazole sodium,,sterile pwdr,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Ranitidine hydrochloride,,sterile sol,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Pantoprazole sodium,,sterile pwdr,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sucralfate,,"tab, susp",,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ค,ใช้เฉพาะกรณีหญิงตั้งครรภ์,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Bismuth  subsalicylate,,tab,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ง,"1. ใช้เป็น second-line drug  ในการกำจัด H.pyroli
2. ห้ามใช้ในเด็กอายุน้อยกว่า 12 ปี",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lauromacrogol 400,,sterile sol,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ชื่อพ้อง: Polidocanol | ED: ง,"1. ใช้ช่วยห้าม variceal bleeding ผ่านทาง endoscopy และใช้สำหรับ sclerotherapy
2. ใช้สำหรับ varicose vein และ hemorrhoid",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Octreotide acetate,,sterile sol (เฉพาะ 0.1 mg/ 1 ml ) ยกเว้นชนิดออกฤทธิ์นาน,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ง,"1. ใช้สำหรับ high output pancreatic fistula
2. ใช้สำหรับ variceal bleeding ในกรณีที่มีหลักฐานว่าเป็นภาวะเลือดออกจาก portal hypertensive gastropathy โดยใช้ร่วมกับ therapeutic endoscopic intervention",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Oral rehydration salts,,"oral pwdr, oral pwdr (hosp)","เมื่อผสมน้ำแล้วมีตัวยาสำคัญต่อลิตร ดังนี้    
- Sodium chloride                  2.6 g  
- Trisodium citrate dihydrate   2.9 g
- Potassium chloride             1.5 g
- Glucose                           13.5 g
และมี  molar concentration ต่อลิตรดังนี้   
- Glucose       75 mEq
- Sodium        75 mEq 
- Chloride       65 mEq 
- Potassium   20 mEq 
- Citrate         10 mmol
- Osmolarity 245 mOsm",การชดเชยสารน้ำและเกลือแร่เป็นเป้าหมายสำคัญในการรักษาโรคท้องร่วงเฉียบพลัน การใช้ยาต้านแบคทีเรียในผู้ป่วยส่วนใหญ่เป็นสิ่งไม่จำเป็นและควรหลีกเลี่ยง,หมวดยา: Gastro-intestinal system | หมวดยา: Drugs used in acute diarrhea | ชื่อพ้อง: ORS | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Zinc sulfate,,oral sol (hosp),,ปัจจุบันองค์การอนามัยโลกและยูนิเซพแนะนำให้เด็กเล็กอายุต่ำกว่า 5 ขวบทุกคน ที่มีอาการท้องร่วงได้รับธาตุสังกะสีเสริมในกระบวนการรักษา โดยให้ยานาน 10-14 วัน เพราะช่วยลดความรุนแรงของโรค ลดระยะเวลาการเป็นโรคและป้องกันการเกิดท้องร่วงในครั้งถัดไปได้ด้วย,หมวดยา: Gastro-intestinal system | หมวดยา: Drugs used in acute diarrhea | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Loperamide hydrochloride,,"cap, tab",,,หมวดยา: Gastro-intestinal system | หมวดยา: Drugs used in acute diarrhea | ED: ข,ห้ามใช้กับเด็กอายุน้อยกว่า 12 ปี ควรใช้กับผู้ใหญ่เฉพาะเมื่อจำเป็นและไม่มีข้อห้ามใช้,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sulfasalazine,,"tab, EC tab",,,หมวดยา: Gastro-intestinal system | หมวดยา: Drugs used in chronic bowel disorders | ED: ค,ใช้สำหรับ chronic inflammatory bowel disease,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Mesalazine,,"EC tab , rectal supp",,,หมวดยา: Gastro-intestinal system | หมวดยา: Drugs used in chronic bowel disorders | ชื่อพ้อง: Mesalamine | ED: ค,"1.ชนิดเม็ด ใช้เป็นทางเลือกของ sulfasalazine ในกรณีผู้ป่วยแพ้ยากลุ่มซัลฟา หรือต้องการลดอาการข้างเคียงจากการใช้ยา
2.ชนิดเหน็บทวารหนัก ใช้สำหรับ ulcerative colitis (บริเวณ sigmoid และ rectum) และ radiation proctitis",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Bisacodyl,,"EC tab, rectal supp",,,หมวดยา: Gastro-intestinal system | หมวดยา: Laxatives | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Castor oil,,oil,,,หมวดยา: Gastro-intestinal system | หมวดยา: Laxatives | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Glycerol,,rectal supp,,,หมวดยา: Gastro-intestinal system | หมวดยา: Laxatives | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Senna,,tab,,,หมวดยา: Gastro-intestinal system | หมวดยา: Laxatives | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Magnesium hydroxide,,"susp, susp (hosp)",,,หมวดยา: Gastro-intestinal system | หมวดยา: Laxatives | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Magnesium sulfate,,"mixt, mixt (hosp), sol, sol (hosp)",,,หมวดยา: Gastro-intestinal system | หมวดยา: Laxatives | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sodium phosphates,,enema,"มีตัวยาสำคัญต่อ 100 ml ดังนี้
- Sodium biphosphate 15.2-16.8 g
- Sodium phosphate     5.7-6.3 g",,หมวดยา: Gastro-intestinal system | หมวดยา: Laxatives | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lactulose,,syr,,,หมวดยา: Gastro-intestinal system | หมวดยา: Laxatives | ED: ข,ใช้สำหรับ hepatic encephalopathy หรือ chronic constipation ในเด็กอายุน้อยกว่า 6 ปี หรือใช้เป็นทางเลือกในหญิงตั้งครรภ์,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Macrogols with electrolytes,,oral pwdr (hosp),,,"หมวดยา: Gastro-intestinal system | หมวดยา: Laxatives | ชื่อพ้อง: Polyethylene glycol, PEG | ED: ค | หมายเหตุ: ไม่แนะนำให้ใช้เป็นยาระบายหรือยาถ่าย",ใช้สำหรับเตรียมลำไส้ใหญ่ก่อนการผ่าตัดหรือตรวจลำไส้,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sodium phosphates,,oral sol,"มีตัวยาสำคัญต่อ 5 ml ดังนี้
- Sodium biphosphate  0.9 g
- Sodium phosphate    2.4 g",,หมวดยา: Gastro-intestinal system | หมวดยา: Laxatives | ED: ค,ใช้สำหรับเตรียมลำไส้ใหญ่ก่อนการผ่าตัดหรือตรวจลำไส้,"1. ไม่ควรรับประทานเกินครั้งละ 45 มิลลิลิตร และไม่เกิน 90 มิลลิลิตรภายใน 24 ชั่วโมง  
2. ไม่แนะนำให้ใช้ยานี้เพื่อทดแทนการขาดฟอสเฟต หรือใช้เป็นยาระบายหรือยาถ่าย
3. ควรระวังในผู้ป่วยสูงอายุ ผู้ป่วยโรคไตวาย และผู้ป่วยโรคหัวใจล้มเหลว",สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Local anesthetic + Corticosteroid with/without astringent,,"cream, oint, rectal supp",,,หมวดยา: Gastro-intestinal system | หมวดยา: Local preparations for anal and rectal disorders | ED: ข,"1. หนึ่งรูปแบบให้เลือก 1 สูตร 
2. ใช้ไม่เกิน 7 วัน",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Colestyramine,,oral pwdr,,,หมวดยา: Gastro-intestinal system | หมวดยา: Drugs affecting intestinal secretions | ชื่อพ้อง: Cholestyramine | ED: ข,ใช้สำหรับ bile-acid diarrhea และ short bowel syndrome,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Pancreatic enzymes,,"cap, tab , EC cap , EC tab","ต้องมี lipase activity ไม่น้อยกว่า 1,200 USP units/cap หรือ tab",,หมวดยา: Gastro-intestinal system | หมวดยา: Drugs affecting intestinal secretions | ED: ง,ใช้เฉพาะผู้ป่วยที่เป็น pancreatic insufficiency เท่านั้น,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Ursodeoxycholic acid,,cap,,,หมวดยา: Gastro-intestinal system | หมวดยา: Drugs affecting intestinal secretions | ชื่อพ้อง: Ursodiol | ED: ง | หมายเหตุ: ส่วนใหญ่นิ่วในถุงน้ำดีใช้ยานี้ไม่ได้ผล,"ใช้สำหรับ cholestatic liver disease ได้แก่ primary biliary cirrhosis, sclerosing cholangitis, biliary atresia, neonatal hepatitis,chronic cholestasis และ TPN-induced cholestasis",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Digoxin,,"tab, elixir, sterile sol",,,หมวดยา: Cardiovascular system | หมวดยา: Positive inotropic drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Milrinone lactate,,sterile sol,,,หมวดยา: Cardiovascular system | หมวดยา: Positive inotropic drugs | ED: ง,"1. ใช้เพิ่มการบีบตัวของหัวใจในผู้ป่วยหลังการผ่าตัดหัวใจ
2. ใช้ทดแทนหรือเสริม dopamine หรือ dobutamine ใน advanced heart failure
3. ใช้เพื่อเพิ่มการบีบตัวของหัวใจในผู้ป่วย advanced heart failure ที่เคยใช้ beta blocker มาก่อน",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Furosemide,,"tab, sterile sol",,,หมวดยา: Cardiovascular system | หมวดยา: Diuretics | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Hydrochlorothiazide,,tab,,,หมวดยา: Cardiovascular system | หมวดยา: Diuretics | ชื่อพ้อง: HCTZ | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Mannitol,,sterile sol,,,หมวดยา: Cardiovascular system | หมวดยา: Diuretics | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Spironolactone,,tab,,,หมวดยา: Cardiovascular system | หมวดยา: Diuretics | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Amiloride hydrochloride + Hydrochlorothiazide (HCTZ),,tab (เฉพาะ 5 + 50 mg),,,หมวดยา: Cardiovascular system | หมวดยา: Diuretics | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Adenosine,,sterile sol,,,หมวดยา: Cardiovascular system | หมวดยา: Anti-arrhythmic drugs | ED: ก,ใช้สำหรับ supraventricular arrhythmias และการตรวจพิเศษทางหัวใจ,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Atropine sulfate,,sterile sol,,,หมวดยา: Cardiovascular system | หมวดยา: Anti-arrhythmic drugs | ED: ก,ใช้สำหรับ symptomatic bradycardia และการตรวจพิเศษทางหัวใจ,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lidocaine hydrochloride (preservative free),ยากำพร้า,"sterile sol (เฉพาะ 1%,2%)/sterile sol (hosp)",,,หมวดยา: Cardiovascular system | หมวดยา: Anti-arrhythmic drugs | ED: ก,ใช้สำหรับ ventricular arrhythmias,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Magnesium sulfate,,sterile sol,,,หมวดยา: Cardiovascular system | หมวดยา: Anti-arrhythmic drugs | ED: ก,ใช้สำหรับ ventricular tachycardia และ refractory supraventricular tachyarrhythmias,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Verapamil,,sterile sol,,,หมวดยา: Cardiovascular system | หมวดยา: Anti-arrhythmic drugs | ED: ก,ใช้สำหรับ supraventricular arrhythmias (SVT) และ atrial fibrillation (AF),,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Amiodarone hydrochloride,,"tab, sterile sol",,,หมวดยา: Cardiovascular system | หมวดยา: Anti-arrhythmic drugs | ED: ค,"ใช้สำหรับ supraventricular, ventricular และ atrial arrhythmias",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Flecainide acetate,,tab,,,หมวดยา: Cardiovascular system | หมวดยา: Anti-arrhythmic drugs | ED: ง,ใช้กับผู้ป่วยที่ใช้ยาอื่นควบคุมจังหวะการเต้นผิดปกติของหัวใจไม่ได้ผล,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Propafenone hydrochloride,,tab,,,หมวดยา: Cardiovascular system | หมวดยา: Anti-arrhythmic drugs | ED: ง,"1. ใช้กับผู้ป่วยที่ใช้ยาอื่นควบคุมการเต้นของหัวใจไม่ได้ผล
2. ใช้สำหรับ refractory supraventricular tachyarrhythmias",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Atenolol,,tab,,,หมวดยา: Cardiovascular system | หมวดยา: Beta-adrenoceptor blocking drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Metoprolol tartrate,,immediate release tab,,,หมวดยา: Cardiovascular system | หมวดยา: Beta-adrenoceptor blocking drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Propranolol hydrochloride,,tab,,,หมวดยา: Cardiovascular system | หมวดยา: Beta-adrenoceptor blocking drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Carvedilol,,tab,,,หมวดยา: Cardiovascular system | หมวดยา: Beta-adrenoceptor blocking drugs | ED: ค,ใช้สำหรับ systolic heart failure,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Labetalol hydrochloride,ยากำพร้า,sterile sol,,,หมวดยา: Cardiovascular system | หมวดยา: Beta-adrenoceptor blocking drugs | ED: ค,ใช้สำหรับ hypertensive emergencies ในหญิงตั้งครรภ์ ในกรณีที่ไม่สามารถใช้ hydralazine hydrochloride ได้,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Hydralazine hydrochloride,,"tab, sterile pwdr",,,"หมวดยา: Cardiovascular system | หมวดยา: Drugs affecting the renin-angiotensin system and some other antihypertensive drugs | หมวดยา: Vasodilator antihypertensive drugs | ED: ก | Footnote: ¹ hypertensive emergencies  หมายถึงภาวะที่มี target organ damage (TOD) เช่น hypertensive encephalopathy, acute pulmonary edema, eclampsia เป็นต้น โดยส่วนใหญ่ผู้ป่วยจะมีความดัน diastolic ตั้งแต่ 120-130 mmHg และควรใช้ยาฉีดในการรักษา",ชนิดฉีดใช้สำหรับ hypertensive emergencies¹ ในหญิงตั้งครรภ์,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sodium nitroprusside,,sterile pwdr,,,หมวดยา: Cardiovascular system | หมวดยา: Drugs affecting the renin-angiotensin system and some other antihypertensive drugs | หมวดยา: Vasodilator antihypertensive drugs | ED: ก,ใช้เป็นมาตรฐานการรักษาใน hypertensive emergencies (ยกเว้นในหญิงตั้งครรภ์),,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Methyldopa,,tab,,,หมวดยา: Cardiovascular system | หมวดยา: Drugs affecting the renin-angiotensin system and some other antihypertensive drugs | หมวดยา: Centrally acting antihypertensive drugs | ED: ก,ใช้สำหรับรักษาความดันเลือดสูงในหญิงตั้งครรภ์,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Prazosin hydrochloride,,tab,,,หมวดยา: Cardiovascular system | หมวดยา: Drugs affecting the renin-angiotensin system and some other antihypertensive drugs | หมวดยา: Alpha-adrenoceptor blocking drugs | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Doxazosin mesilate,,immediate release tab,,,หมวดยา: Cardiovascular system | หมวดยา: Drugs affecting the renin-angiotensin system and some other antihypertensive drugs | หมวดยา: Alpha-adrenoceptor blocking drugs | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Enalapril maleate,,tab,,,หมวดยา: Cardiovascular system | หมวดยา: Drugs affecting the renin-angiotensin system and some other antihypertensive drugs | หมวดยา: Angiotensin-converting enzyme inhibitors | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Captopril,,tab,,,"หมวดยา: Cardiovascular system | หมวดยา: Drugs affecting the renin-angiotensin system and some other antihypertensive drugs | หมวดยา: Angiotensin-converting enzyme inhibitors | ED: ก | หมายเหตุ: กรณีที่สถานพยาบาลไม่มียาฉีดหรือไม่สามารถใช้ยาฉีดในการรักษา hypertensive emergencies อาจพิจารณาใช้ captopril เป็นทางเลือกในการรักษา | Footnote: 2 hypertensive urgency หมายถึง ภาวะที่มีความดันเลือดสูงรุนแรง (severe elevated blood pressure) ที่ไม่มีภาวะ target organ 
damage (TOD) โดยส่วนใหญ่ผู้ป่วยจะมีความดัน diastolic ตั้งแต่ 120-130 mmHg ผู้ป่วยเหล่านี้ควรใช้ยารับประทานในการรักษา",ใช้สำหรับ hypertensive urgency²,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Losartan potassium,,"tab (เฉพาะ 50, 100 mg)",,,หมวดยา: Cardiovascular system | หมวดยา: Drugs affecting the renin-angiotensin system and some other antihypertensive drugs | หมวดยา: Angiotensin-II receptor antagonists | ED: ข,ใช้กับผู้ป่วยที่ใช้ยาในกลุ่ม Angiotensin-converting enzyme inhibitors ไม่ได้ เนื่องจากเกิดอาการไม่พึงประสงค์จากการใช้ยาในกลุ่มดังกล่าว,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Glyceryl trinitrate,,sterile sol,,,"หมวดยา: Cardiovascular system | หมวดยา: Nitrates, calcium-channel blockers and other vasodilators | หมวดยา: Nitrates | ED: ก",ใช้สำหรับ hypertensive emergencies ในกรณีที่มี coronary ischemia,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Isosorbide dinitrate,,"tab, sublingual tab",,,"หมวดยา: Cardiovascular system | หมวดยา: Nitrates, calcium-channel blockers and other vasodilators | หมวดยา: Nitrates | ED: ก",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Isosorbide mononitrate,,tab,,,"หมวดยา: Cardiovascular system | หมวดยา: Nitrates, calcium-channel blockers and other vasodilators | หมวดยา: Nitrates | ED: ก",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Amlodipine besilate,,tab,,,"หมวดยา: Cardiovascular system | หมวดยา: Nitrates, calcium-channel blockers and other vasodilators | หมวดยา: Calcium-channel blockers | รายละเอียดกลุ่ม 3: ยากลุ่มนี้ชนิดที่เป็น short-acting dihydropyridine (เช่น nifedipine immediate release) ไม่แนะนำให้ใช้รักษา essential hypertension, hypertensive emergencies , hypertensive urgency และ angina pectoris เนื่องจากมียาอื่นที่ปลอดภัยกว่า | ED: ก",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
